Date,Adj Close
2013-12-31,43.150002
2014-01-02,42.630001
2014-01-03,42.900002
2014-01-06,42.91
2014-01-07,43.529999
2014-01-08,42.25
2014-01-09,44.220001
2014-01-10,44.0
2014-01-13,42.650002
2014-01-14,43.779999
2014-01-15,43.360001
2014-01-16,43.759998
2014-01-17,43.02
2014-01-21,43.66
2014-01-22,42.689999
2014-01-23,40.869999
2014-01-24,38.02
2014-01-27,37.220001
2014-01-28,37.68
2014-01-29,35.34
2014-01-30,36.939999
2014-01-31,36.75
2014-02-03,35.009998
2014-02-04,36.279999
2014-02-05,36.669998
2014-02-06,38.639999
2014-02-07,39.259998
2014-02-10,39.450001
2014-02-11,40.169998
2014-02-12,40.389999
2014-02-13,40.290001
2014-02-14,40.290001
2014-02-18,41.209999
2014-02-19,39.830002
2014-02-20,37.290001
2014-02-21,36.66
2014-02-24,36.470001
2014-02-25,36.200001
2014-02-26,37.759998
2014-02-27,37.68
2014-02-28,37.5
2014-03-03,32.23
2014-03-04,34.310001
2014-03-05,34.310001
2014-03-06,34.290001
2014-03-07,33.18
2014-03-10,33.380001
2014-03-11,32.490002
2014-03-12,31.84
2014-03-13,29.16
2014-03-14,30.389999
2014-03-17,30.01
2014-03-18,32.029999
2014-03-19,31.42
2014-03-20,30.379999
2014-03-21,30.01
2014-03-24,29.16
2014-03-25,29.67
2014-03-26,29.440001
2014-03-27,28.75
2014-03-28,29.469999
2014-03-31,30.190001
2014-04-01,31.49
2014-04-02,31.190001
2014-04-03,30.459999
2014-04-04,29.959999
2014-04-07,28.5
2014-04-08,29.02
2014-04-09,29.540001
2014-04-10,28.379999
2014-04-11,28.01
2014-04-14,27.51
2014-04-15,27.379999
2014-04-16,28.09
2014-04-17,29.950001
2014-04-21,29.370001
2014-04-22,29.059999
2014-04-23,28.26
2014-04-24,26.690001
2014-04-25,24.0
2014-04-28,24.01
2014-04-29,25.59
2014-04-30,26.49
2014-05-01,26.540001
2014-05-02,26.530001
2014-05-05,26.84
2014-05-06,27.01
2014-05-07,27.27
2014-05-08,27.84
2014-05-09,28.299999
2014-05-12,29.280001
2014-05-13,29.540001
2014-05-14,29.950001
2014-05-15,29.84
2014-05-16,30.030001
2014-05-19,30.559999
2014-05-20,30.85
2014-05-21,31.6
2014-05-22,32.099998
2014-05-23,32.209999
2014-05-27,32.73
2014-05-28,31.9
2014-05-29,31.91
2014-05-30,31.139999
2014-06-02,31.67
2014-06-03,32.400002
2014-06-04,32.98
2014-06-05,33.150002
2014-06-06,33.720001
2014-06-09,34.0
2014-06-10,33.950001
2014-06-11,34.16
2014-06-12,34.099998
2014-06-13,33.73
2014-06-16,33.950001
2014-06-17,34.09
2014-06-18,34.119999
2014-06-19,33.790001
2014-06-20,35.560001
2014-06-23,35.599998
2014-06-24,34.610001
2014-06-25,34.900002
2014-06-26,35.029999
2014-06-27,35.16
2014-06-30,35.639999
2014-07-01,35.009998
2014-07-02,34.639999
2014-07-03,34.560001
2014-07-07,33.380001
2014-07-08,31.26
2014-07-09,32.150002
2014-07-10,31.690001
2014-07-11,32.110001
2014-07-14,32.490002
2014-07-15,32.119999
2014-07-16,31.85
2014-07-17,30.030001
2014-07-18,30.74
2014-07-21,29.639999
2014-07-22,30.200001
2014-07-23,30.76
2014-07-24,31.190001
2014-07-25,30.530001
2014-07-28,30.16
2014-07-29,30.440001
2014-07-30,31.25
2014-07-31,30.280001
2014-08-01,30.280001
2014-08-04,30.52
2014-08-05,29.57
2014-08-06,28.879999
2014-08-07,28.440001
2014-08-08,29.0
2014-08-11,29.01
2014-08-12,28.85
2014-08-13,29.030001
2014-08-14,29.030001
2014-08-15,28.41
2014-08-18,29.040001
2014-08-19,30.719999
2014-08-20,30.17
2014-08-21,29.809999
2014-08-22,29.08
2014-08-25,29.43
2014-08-26,29.290001
2014-08-27,29.02
2014-08-28,28.34
2014-08-29,28.43
2014-09-02,29.059999
2014-09-03,30.66
2014-09-04,29.93
2014-09-05,31.6
2014-09-08,31.49
2014-09-09,31.01
2014-09-10,30.799999
2014-09-11,30.440001
2014-09-12,31.559999
2014-09-15,29.9
2014-09-16,31.049999
2014-09-17,30.02
2014-09-18,29.74
2014-09-19,29.42
2014-09-22,28.74
2014-09-23,28.9
2014-09-24,29.969999
2014-09-25,29.4
2014-09-26,29.67
2014-09-29,28.219999
2014-09-30,27.799999
2014-10-01,26.450001
2014-10-02,26.98
2014-10-03,27.049999
2014-10-06,27.01
2014-10-07,26.17
2014-10-08,26.18
2014-10-09,25.559999
2014-10-10,24.440001
2014-10-13,25.08
2014-10-14,25.32
2014-10-15,25.440001
2014-10-16,25.790001
2014-10-17,26.309999
2014-10-20,26.41
2014-10-21,27.42
2014-10-22,26.139999
2014-10-23,27.6
2014-10-24,27.780001
2014-10-27,27.440001
2014-10-28,28.58
2014-10-29,28.370001
2014-10-30,28.02
2014-10-31,28.620001
2014-11-03,27.809999
2014-11-04,27.77
2014-11-05,27.200001
2014-11-06,26.459999
2014-11-07,26.549999
2014-11-10,26.790001
2014-11-11,26.389999
2014-11-12,26.620001
2014-11-13,25.98
2014-11-14,26.450001
2014-11-17,26.120001
2014-11-18,25.860001
2014-11-19,25.719999
2014-11-20,26.15
2014-11-21,26.67
2014-11-24,26.469999
2014-11-25,26.040001
2014-11-26,26.110001
2014-11-28,24.92
2014-12-01,23.98
2014-12-02,23.74
2014-12-03,23.58
2014-12-04,22.290001
2014-12-05,21.91
2014-12-08,19.43
2014-12-09,20.110001
2014-12-10,19.139999
2014-12-11,18.959999
2014-12-12,19.309999
2014-12-15,17.68
2014-12-16,16.82
2014-12-17,17.299999
2014-12-18,18.09
2014-12-19,18.0
2014-12-22,18.0
2014-12-23,17.98
2014-12-24,17.66
2014-12-26,18.16
2014-12-29,18.07
2014-12-30,18.4
2014-12-31,17.959999
2015-01-02,18.370001
2015-01-05,17.41
2015-01-06,17.530001
2015-01-07,17.370001
2015-01-08,18.42
2015-01-09,18.24
2015-01-12,17.66
2015-01-13,17.68
2015-01-14,18.4
2015-01-15,17.719999
2015-01-16,17.969999
2015-01-20,16.41
2015-01-21,16.51
2015-01-22,17.459999
2015-01-23,17.190001
2015-01-26,16.25
2015-01-27,16.209999
2015-01-28,15.41
2015-01-29,15.44
2015-01-30,14.89
2015-02-02,14.91
2015-02-03,15.63
2015-02-04,15.42
2015-02-05,16.24
2015-02-06,16.120001
2015-02-09,15.87
2015-02-10,15.73
2015-02-11,16.0
2015-02-12,16.41
2015-02-13,17.0
2015-02-17,16.65
2015-02-18,16.85
2015-02-19,16.870001
2015-02-20,17.01
2015-02-23,16.25
2015-02-24,16.35
2015-02-25,16.370001
2015-02-26,16.540001
2015-02-27,16.450001
2015-03-02,16.02
2015-03-03,15.95
2015-03-04,15.76
2015-03-05,15.48
2015-03-06,15.13
2015-03-09,14.68
2015-03-10,14.12
2015-03-11,14.5
2015-03-12,14.53
2015-03-13,14.68
2015-03-16,14.21
2015-03-17,14.49
2015-03-18,14.49
2015-03-19,14.46
2015-03-20,14.63
2015-03-23,14.74
2015-03-24,15.27
2015-03-25,15.27
2015-03-26,15.19
2015-03-27,15.45
2015-03-30,15.3
2015-03-31,15.17
2015-04-01,15.77
2015-04-02,16.24
2015-04-06,17.18
2015-04-07,17.02
2015-04-08,17.48
2015-04-09,17.99
2015-04-10,17.84
2015-04-13,17.84
2015-04-14,17.91
2015-04-15,20.4
2015-04-16,20.9
2015-04-17,20.59
2015-04-20,20.540001
2015-04-21,20.440001
2015-04-22,20.700001
2015-04-23,20.75
2015-04-24,20.67
2015-04-27,20.27
2015-04-28,19.200001
2015-04-29,19.68
2015-04-30,19.24
2015-05-01,19.57
2015-05-04,19.190001
2015-05-05,19.42
2015-05-06,19.6
2015-05-07,19.15
2015-05-08,19.639999
2015-05-11,19.309999
2015-05-12,19.200001
2015-05-13,19.43
2015-05-14,19.49
2015-05-15,19.01
2015-05-18,19.35
2015-05-19,18.75
2015-05-20,18.59
2015-05-21,18.610001
2015-05-22,18.5
2015-05-26,18.17
2015-05-27,17.93
2015-05-28,18.33
2015-05-29,18.030001
2015-06-01,18.07
2015-06-02,18.93
2015-06-03,18.17
2015-06-04,17.57
2015-06-05,17.559999
2015-06-08,17.24
2015-06-09,17.360001
2015-06-10,17.4
2015-06-11,17.440001
2015-06-12,17.629999
2015-06-15,17.25
2015-06-16,17.190001
2015-06-17,17.139999
2015-06-18,16.93
2015-06-19,16.77
2015-06-22,16.26
2015-06-23,15.93
2015-06-24,15.95
2015-06-25,15.9
2015-06-26,15.81
2015-06-29,14.84
2015-06-30,15.22
2015-07-01,15.03
2015-07-02,15.38
2015-07-06,14.91
2015-07-07,14.93
2015-07-08,14.47
2015-07-09,14.81
2015-07-10,14.85
2015-07-13,15.33
2015-07-14,15.47
2015-07-15,15.19
2015-07-16,15.45
2015-07-17,15.78
2015-07-20,15.48
2015-07-21,15.49
2015-07-22,15.15
2015-07-23,15.26
2015-07-24,14.84
2015-07-27,14.53
2015-07-28,14.89
2015-07-29,15.41
2015-07-30,14.38
2015-07-31,13.91
2015-08-03,13.65
2015-08-04,13.76
2015-08-05,13.75
2015-08-06,13.31
2015-08-07,13.33
2015-08-10,13.65
2015-08-11,13.21
2015-08-12,13.06
2015-08-13,12.77
2015-08-14,12.82
2015-08-17,12.49
2015-08-18,12.46
2015-08-19,11.91
2015-08-20,11.46
2015-08-21,11.01
2015-08-24,10.18
2015-08-25,10.57
2015-08-26,10.84
2015-08-27,12.08
2015-08-28,12.35
2015-08-31,12.2
2015-09-01,11.71
2015-09-02,11.73
2015-09-03,11.74
2015-09-04,11.5
2015-09-08,11.51
2015-09-09,11.33
2015-09-10,11.45
2015-09-11,11.27
2015-09-14,12.05
2015-09-15,12.24
2015-09-16,13.32
2015-09-17,13.1
2015-09-18,12.49
2015-09-21,12.2
2015-09-22,11.57
2015-09-23,11.16
2015-09-24,10.85
2015-09-25,10.69
2015-09-28,10.3
2015-09-29,10.77
2015-09-30,10.73
2015-10-01,10.73
2015-10-02,11.34
2015-10-05,12.24
2015-10-06,11.98
2015-10-07,11.83
2015-10-08,12.0
2015-10-09,12.37
2015-10-12,12.19
2015-10-13,12.76
2015-10-14,13.33
2015-10-15,13.6
